codice,nome,categoria,punti,dataInizio,dataFine
912819,La crotta di vegneron due bottiglie,Tour del gusto,1700,2016-10-11,2017-10-10
912810,Cofanetto biscotti e moscato,Tour del gusto,4300,2017-10-11,2018-10-10
912816,Ferrari due bottiglie e stopper,Tour del gusto,7700,2018-10-11,2019-10-10
912807,F.lli beretta cofanetto due salami dop,Tour del gusto,3800,2019-10-11,2020-10-10
912805,Marco felluga confezione tre bottiglie,Tour del gusto,3500,2016-10-11,2017-10-10
912820,Bertani confezione tre bottiglie,Tour del gusto,5900,2017-10-11,2018-10-10
912804,Cav. boschi confezione tre salumi,Tour del gusto,5900,2018-10-11,2019-10-10
912743,Cofanetto frantoio venturino,Tour del gusto,2000,2019-10-11,2020-10-10
912817,Cofanetto prodotti tipici,Tour del gusto,3600,2016-10-11,2017-10-10
912818,Coricelli dama olio dop,Tour del gusto,2700,2017-10-11,2018-10-10
912808,Spinosi sei confezioni di paste diverse,Tour del gusto,1900,2018-10-11,2019-10-10
912802,Collefrisio confezione tre bottiglie,Tour del gusto,1600,2019-10-11,2020-10-10
912806,Cofanetto prodotti tipici,Tour del gusto,3500,2016-10-11,2017-10-10
912809,La molisana confezione extra lusso,Tour del gusto,1000,2017-10-11,2018-10-10
912744,Latta pastificio gentile,Tour del gusto,3300,2018-10-11,2019-10-10
912812,Spagnoletti zeuli dama di olio dop,Tour del gusto,2500,2019-10-11,2020-10-10
912803,San vincenzo confezione quattro salumi,Tour del gusto,3300,2016-10-11,2017-10-10
912801,Paternoster confezione due bottiglie,Tour del gusto,3100,2017-10-11,2018-10-10
912815,Damiano confezione dieci prodotti,Tour del gusto,4200,2018-10-11,2019-10-10
912814,Dolianova confezione tre bottiglie,Tour del gusto,2300,2019-10-11,2020-10-10
912230,6 bicchieri,Tavola e cucina,13900,2016-10-11,2017-10-10
912424,Brocca,Tavola e cucina,2300,2017-10-11,2018-10-10
912369,Tovaglia antimacchia,Tavola e cucina,3000,2018-10-11,2019-10-10
912556,6 bicchieri acqua,Tavola e cucina,2400,2019-10-11,2020-10-10
912461,Set coppe multiuso,Tavola e cucina,1400,2016-10-11,2017-10-10
912584,Posate insalata,Tavola e cucina,1500,2017-10-11,2018-10-10
912555,2 bicchieri birra,Tavola e cucina,2600,2018-10-11,2019-10-10
912557,Alzatina scomponibile,Tavola e cucina,2400,2019-10-11,2020-10-10
912735,Cassetta 6 vini,Tavola e cucina,19900,2016-10-11,2017-10-10
912741,Gin,Tavola e cucina,2800,2017-10-11,2018-10-10
912214,Estrattore,Tavola e cucina,26900,2018-10-11,2019-10-10
912537,Set macedonia,Tavola e cucina,2400,2019-10-11,2020-10-10
912534,Coperchi estensibili,Tavola e cucina,3400,2016-10-11,2017-10-10
912514,Grattugia,Tavola e cucina,1300,2017-10-11,2018-10-10
912553,Padella quadrata,Tavola e cucina,4900,2018-10-11,2019-10-10
912517,Macinapepe,Tavola e cucina,2400,2019-10-11,2020-10-10
912472,Mini griglia,Tavola e cucina,1800,2016-10-11,2017-10-10
912420,Padella ferro,Tavola e cucina,4100,2017-10-11,2018-10-10
912742,Dama olio extravergine 100% italiano,Tavola e cucina,2900,2018-10-11,2019-10-10
912399,Friggitrice,Tavola e cucina,8400,2019-10-11,2020-10-10
912518,Veggie sheet slicer,Tavola e cucina,3000,2016-10-11,2017-10-10
912402,Tritatutto,Tavola e cucina,4000,2017-10-11,2018-10-10
912397,Macchina caffe espresso,Tavola e cucina,9600,2018-10-11,2019-10-10
912599,Affilacoltelli,Tavola e cucina,2200,2019-10-11,2020-10-10
912229,Ceppo coltelli,Tavola e cucina,36900,2016-10-11,2017-10-10
912503,Casseruola,Tavola e cucina,6000,2017-10-11,2018-10-10
912220,Macchina da caffè automatica,Tavola e cucina,35900,2018-10-11,2019-10-10
912217,Affettatrice elettrica,Tavola e cucina,59900,2019-10-11,2020-10-10
912683,Orologio a parete,Tavola e cucina,7100,2016-10-11,2017-10-10
